,Jan.,Feb.,March,April,May,June,July,August,Sept.,Oct.,Nov.,Dec
Melrose Ave & E 150 St,,,,,,605.0,552.0,376.0,634.0,654.0,469.0,265.0
Motorgate,,,,,,554.0,2784.0,2715.0,2695.0,1932.0,1591.0,754.0
Lenox Ave & W 133 St,,,,,,504.0,889.0,1116.0,1040.0,824.0,754.0,417.0
Edgecombe Ave & W 141 St,,,,,,464.0,1514.0,1933.0,1974.0,1702.0,1183.0,596.0
Roosevelt Island Tramway,,,,,,448.0,2393.0,2611.0,2769.0,1950.0,1337.0,621.0
Adam Clayton Powell Blvd & W 132 St,,,,,,400.0,929.0,1128.0,1193.0,1066.0,800.0,482.0
E 149 St & Eagle Ave,,,,,,273.0,256.0,196.0,169.0,168.0,132.0,71.0
Southpoint Park,,,,,,221.0,1246.0,1527.0,1294.0,767.0,319.0,144.0
Edgecombe Ave & W 145 St,,,,,,126.0,1112.0,1318.0,1337.0,1095.0,777.0,519.0
W 148 St & Amsterdam Ave,,,,,,119.0,973.0,697.0,637.0,509.0,415.0,262.0
Brook Ave & E 138 St,,,,,,117.0,340.0,362.0,409.0,346.0,288.0,149.0
E 142 St & 3 Ave,,,,,,110.0,165.0,232.0,255.0,273.0,180.0,81.0
E 138 St & Cypress Ave,,,,,,88.0,129.0,162.0,158.0,185.0,111.0,70.0
E 147 St & Bergen Ave,,,,,,83.0,255.0,278.0,263.0,227.0,198.0,123.0
Hamilton Pl & W 140 St,,,,,,70.0,341.0,481.0,161.0,498.0,397.0,260.0
E 138 St & Canal St W,,,,,,58.0,117.0,147.0,230.0,213.0,138.0,73.0
E 141 St & St Ann's Ave,,,,,,57.0,178.0,275.0,309.0,244.0,195.0,121.0
Propsect Ave & E 151 St,,,,,,49.0,,,,,,
St. Nicholas Terrace & Convent Ave,,,,,,49.0,166.0,249.0,317.0,247.0,160.0,111.0
Southern Blvd & E 142 St,,,,,,41.0,29.0,87.0,52.0,65.0,38.0,24.0
Westchester Ave & Jackson Ave,,,,,,37.0,477.0,356.0,352.0,343.0,248.0,131.0
E 141 St & Jackson Ave,,,,,,30.0,114.0,181.0,162.0,157.0,109.0,42.0
Wales Ave & E 147 St,,,,,,13.0,168.0,158.0,265.0,196.0,132.0,46.0
8 Ave & W 38 St,,,,,,,4584.0,6930.0,7364.0,6467.0,4846.0,3603.0
West End Ave & W 60 St,,,,,,,2599.0,4125.0,5040.0,5005.0,3905.0,2379.0
Central Park West & W 85 St (old),,,,,,,1478.0,,,,,
Soissons Landing,,,,,,,1161.0,2726.0,2825.0,1687.0,43.0,
Madison Av & E 51 St,,,,,,,921.0,1860.0,2113.0,2112.0,1661.0,1356.0
Yankee Ferry Terminal,,,,,,,914.0,2481.0,2416.0,1782.0,21.0,
Picnic Point,,,,,,,854.0,2180.0,2238.0,1327.0,19.0,
Adam Clayton Powell Blvd & W 138 St,,,,,,,610.0,1742.0,1911.0,1551.0,1210.0,754.0
W 147 St & Adam Clayton Powell Blvd,,,,,,,571.0,664.0,731.0,643.0,532.0,250.0
Prospect Ave & E 151 St,,,,,,,528.0,534.0,374.0,300.0,201.0,94.0
Broadway & W 131 St,,,,,,,456.0,566.0,653.0,513.0,461.0,308.0
Riverside Dr & W 148 St,,,,,,,262.0,1419.0,1266.0,938.0,531.0,266.0
Broadway & W 153 St,,,,,,,234.0,808.0,580.0,417.0,243.0,137.0
Broadway & W 133 St,,,,,,,233.0,948.0,722.0,618.0,570.0,310.0
St Ann's Ave & Westchester Ave,,,,,,,164.0,123.0,163.0,150.0,78.0,48.0
Edgecombe Ave & W 150 St,,,,,,,113.0,288.0,257.0,204.0,138.0,93.0
Hamilton Pl & W 138 St,,,,,,,112.0,367.0,527.0,368.0,319.0,180.0
Macombs Pl & W 152 St,,,,,,,93.0,501.0,509.0,403.0,360.0,177.0
W 140 St & Riverside Dr,,,,,,,81.0,426.0,398.0,290.0,297.0,182.0
Adam Clayton Powell Blvd & W 151 St,,,,,,,67.0,326.0,370.0,337.0,289.0,131.0
St Nicholas Ave & W 150 St,,,,,,,65.0,648.0,687.0,572.0,527.0,318.0
Lenox Ave & W 146 St,,,,,,,63.0,377.0,378.0,312.0,263.0,156.0
Amsterdam Ave & W 152 St,,,,,,,34.0,457.0,416.0,400.0,289.0,121.0
Melrose Ave & E 154 St,,,,,,,33.0,223.0,135.0,172.0,127.0,69.0
Brook Ave & E 148 St,,,,,,,31.0,192.0,227.0,220.0,183.0,103.0
OLD Southern Blvd & E 142 St,,,,,,,28.0,,,,,
E 155 St & Courtlandt Ave,,,,,,,23.0,235.0,138.0,106.0,58.0,53.0
Gerard Ave & E 146 St,,,,,,,21.0,382.0,248.0,232.0,116.0,53.0
Cauldwell Ave & E 161 St,,,,,,,17.0,319.0,255.0,197.0,123.0,39.0
Bergen Ave & E 152 St,,,,,,,14.0,116.0,163.0,143.0,130.0,90.0
Courtlandt Ave & E 149 St,,,,,,,14.0,219.0,346.0,307.0,346.0,138.0
Alexander Ave & E 134 St,,,,,,,11.0,247.0,377.0,334.0,263.0,133.0
Harlem River Dr & W 155 St,,,,,,,10.0,393.0,293.0,213.0,159.0,64.0
