,Jan.,Feb.,March,April,May,June,July,August,Sept.,Oct.,Nov.,Dec
11 Ave & W 59 St,3295.0,2930.0,3022.0,1936.0,2147.0,2306.0,4722.0,5653.0,5854.0,4493.0,3236.0,2022.0
E 12 St & 3 Ave,3288.0,3400.0,2526.0,1373.0,2455.0,2937.0,3421.0,3316.0,4388.0,5596.0,3477.0,2006.0
1 Ave & E 62 St,3268.0,2711.0,2956.0,2019.0,4714.0,6204.0,6741.0,6862.0,7433.0,6704.0,5203.0,3453.0
Central Park S & 6 Ave,3243.0,2874.0,3635.0,2928.0,7722.0,8196.0,7803.0,7866.0,8450.0,8405.0,5562.0,2965.0
W 43 St & 10 Ave,3232.0,2810.0,2632.0,1975.0,3601.0,4592.0,5484.0,6568.0,6549.0,6180.0,5235.0,3459.0
Columbus Ave & W 72 St,3177.0,2884.0,2901.0,2105.0,4227.0,4605.0,5258.0,5951.0,6859.0,6756.0,4899.0,2924.0
Lispenard St & Broadway,3163.0,2719.0,1953.0,879.0,1797.0,2690.0,3061.0,3520.0,4034.0,3721.0,2688.0,1791.0
Forsyth St & Broome St,3159.0,2826.0,2132.0,901.0,2058.0,2849.0,3511.0,4222.0,4739.0,4006.0,3390.0,2202.0
W 47 St & 10 Ave,3135.0,2878.0,2459.0,2096.0,3933.0,4572.0,5617.0,6294.0,5954.0,5540.0,4510.0,3027.0
1 Ave & E 78 St,3093.0,2845.0,2891.0,2357.0,4638.0,5922.0,6697.0,6903.0,7465.0,6609.0,5265.0,3449.0
W 15 St & 6 Ave,3086.0,3018.0,2513.0,1175.0,2547.0,3260.0,4654.0,5460.0,6694.0,6030.0,4223.0,2940.0
W 13 St & 5 Ave,3085.0,3175.0,2313.0,766.0,1654.0,2298.0,2958.0,3391.0,4270.0,4252.0,3555.0,2442.0
Allen St & Hester St,3058.0,2937.0,2550.0,1292.0,2787.0,4127.0,4662.0,5284.0,5723.0,5381.0,4149.0,2611.0
E 20 St & FDR Drive,3054.0,2747.0,2340.0,1495.0,2630.0,3906.0,4110.0,4056.0,4264.0,3795.0,2971.0,2284.0
E 25 St & 1 Ave,3041.0,2707.0,2070.0,1079.0,2110.0,2495.0,3006.0,4646.0,5324.0,4069.0,3136.0,1989.0
W 26 St & 10 Ave,3030.0,2765.0,2160.0,737.0,1604.0,2236.0,2753.0,2990.0,3832.0,3549.0,2706.0,1612.0
Metropolitan Ave & Bedford Ave,3030.0,2725.0,2433.0,1361.0,2819.0,3422.0,4097.0,4634.0,5148.0,4534.0,3644.0,2418.0
W 20 St & 8 Ave,3021.0,2874.0,2543.0,1547.0,3038.0,4104.0,4782.0,5126.0,5676.0,4944.0,4213.0,2351.0
Liberty St & Broadway,3019.0,2778.0,2331.0,1166.0,2440.0,3260.0,3842.0,3833.0,,,,
Allen St & Rivington St,3004.0,2789.0,2592.0,1390.0,3024.0,4470.0,5121.0,5354.0,6012.0,5531.0,4094.0,2577.0
W 55 St & 6 Ave,2995.0,2796.0,2170.0,1159.0,2424.0,3184.0,4274.0,4145.0,5023.0,4883.0,3830.0,2477.0
